using device: cuda
total desired batch_size: 524288
=> calculated gradient accumulation steps: 128
validation loss: 10.9450
step   54 | loss: 8.301258 | lr: 4.6154e-05 norm: 1.5729 | dt: 26.75s | tok/sec: 19600.27
step   55 | loss: 8.258245 | lr: 4.6993e-05 norm: 1.6344 | dt: 26.78s | tok/sec: 19580.17
step   56 | loss: 8.195805 | lr: 4.7832e-05 norm: 1.7778 | dt: 26.75s | tok/sec: 19600.22
step   57 | loss: 8.225355 | lr: 4.8671e-05 norm: 1.6378 | dt: 26.75s | tok/sec: 19600.56
step   58 | loss: 8.133117 | lr: 4.9510e-05 norm: 1.5237 | dt: 26.75s | tok/sec: 19600.82
step   59 | loss: 8.101971 | lr: 5.0350e-05 norm: 1.4529 | dt: 26.74s | tok/sec: 19606.76
step   60 | loss: 8.063899 | lr: 5.1189e-05 norm: 1.4914 | dt: 26.78s | tok/sec: 19574.82
step   61 | loss: 8.147018 | lr: 5.2028e-05 norm: 1.3917 | dt: 26.77s | tok/sec: 19586.76
step   62 | loss: 8.067807 | lr: 5.2867e-05 norm: 1.6308 | dt: 26.76s | tok/sec: 19595.83
step   63 | loss: 8.012706 | lr: 5.3706e-05 norm: 1.8260 | dt: 26.75s | tok/sec: 19597.09
step   64 | loss: 7.948781 | lr: 5.4545e-05 norm: 1.6582 | dt: 26.79s | tok/sec: 19572.41
step   65 | loss: 7.908577 | lr: 5.5385e-05 norm: 1.4075 | dt: 26.76s | tok/sec: 19595.29
step   66 | loss: 7.885306 | lr: 5.6224e-05 norm: 1.3859 | dt: 26.76s | tok/sec: 19595.43
step   67 | loss: 7.853272 | lr: 5.7063e-05 norm: 1.3104 | dt: 26.75s | tok/sec: 19603.16
step   68 | loss: 7.853774 | lr: 5.7902e-05 norm: 1.3894 | dt: 26.75s | tok/sec: 19598.65
step   69 | loss: 7.793896 | lr: 5.8741e-05 norm: 1.3319 | dt: 26.77s | tok/sec: 19581.78
step   70 | loss: 7.715298 | lr: 5.9580e-05 norm: 1.5329 | dt: 26.77s | tok/sec: 19584.57
step   71 | loss: 7.744349 | lr: 6.0420e-05 norm: 1.5591 | dt: 26.75s | tok/sec: 19598.71
step   72 | loss: 7.714406 | lr: 6.1259e-05 norm: 1.3936 | dt: 26.75s | tok/sec: 19597.32
step   73 | loss: 7.815269 | lr: 6.2098e-05 norm: 1.5272 | dt: 26.78s | tok/sec: 19580.89
step   74 | loss: 7.647623 | lr: 6.2937e-05 norm: 1.3686 | dt: 26.75s | tok/sec: 19602.92
step   75 | loss: 7.547805 | lr: 6.3776e-05 norm: 1.3592 | dt: 26.75s | tok/sec: 19598.65
step   76 | loss: 7.572975 | lr: 6.4615e-05 norm: 1.2796 | dt: 26.75s | tok/sec: 19599.37
step   77 | loss: 7.568133 | lr: 6.5455e-05 norm: 1.4836 | dt: 26.75s | tok/sec: 19596.43
step   78 | loss: 7.499243 | lr: 6.6294e-05 norm: 1.1875 | dt: 26.79s | tok/sec: 19568.68
step   79 | loss: 7.555349 | lr: 6.7133e-05 norm: 1.0770 | dt: 26.78s | tok/sec: 19578.44
